"cluster","talla","edad","peso_kg","circun_cuello","IMC","circun_cintura","cadera","ind_cintura_cadera","ind_cintura_estatura","por_grasa_corporal","masa_corporal_magra_kg","pliegue_cutaneo_BICEPS","pliegue_cutaneo_TRICEPS","pliegue_cutaneo_ESCAPULAR","pliegue_cutaneo_SUPRAILIACO"
"1",154.815506502698,14.8258426966292,57.1221853672091,32.3744273146938,23.687597710583,76.1407500569686,92.9050561797753,0.821242377173489,0.492122253602798,30.1127494983053,39.9093454018341,12.247191011236,19.601114871938,17.4594914251922,18.8548228176318
"2",158.826200524934,15.04,71,35.3613333333333,28.0828193857007,87.4053333333333,101.710379487179,0.861184655153822,0.551128188489088,31.4141566057571,48.2124867998442,13.6691705306543,23.08,22.6466666666667,22.7021128205128
"3",162.16210644722,14.5864661654135,51.5203007518797,31.415970157953,19.4536704848579,69.8876027823068,82.1406015037594,0.849771443871506,0.431570509961211,12.291495811584,45.149785550996,4.32237277893342,8.76440713585205,8.63375544123467,7.59022556390977
"4",166.479293429029,14.9026548672566,63.1973451327434,33.7097345132743,22.5545877111161,77.0743777007717,89.416814159292,0.863520435410886,0.463380952572746,17.2066722172383,52.2662877795676,5.72456265131102,12.4749079316221,13.1893339543549,11.9380530973451
"5",154.679478153466,14.7058823529412,50.0727025689204,29.8520393170188,20.6670776394992,69.0173432035321,87.6246958270488,0.787396482533931,0.446359555022122,26.327895466573,36.8891226539332,9.69076986796779,15.8104575163399,12.6823185414517,13.9869281045752
